Unique ID,UP ID,Present in GFKB v3 (Y/N),Present in GFKB_epilepsy v3 (Y/N),UP taxonomy,UP name,Assembly ID (UP matched),Genome Size (Mb),RefSeq Accession,Plasmid/additional chromosome accessions,GenBank Accession,GenBank record name,NCBI taxonomy,NCBI taxonomy name,Lineage (full),Characteristics,Effect/Function,Curation Notes
UP000001888_CP001849,UP000001888,Y,Y,553190,Gardnerella vaginalis (strain 409-05),GCA_000025205.1,1.618,NC_013721.1,,CP001849,"Gardnerella vaginalis 409-05, complete genome",553190,Gardnerella vaginalis 409-05,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Gardnerella; Gardnerella vaginalis,"Gardnerella vaginalis (strain 409-05) is a facultative anaerobic Gram-variable bacterium. It is the most prevalent sexually transmitted organism and is associated with bacterial vaginosis (BV) in which the normal lactobacilli microbiota is replaced by relatively high concentrations of other bacteria, especially G. vaginalis. It reflects a complex alteration of the vaginal microbiota, normally in the absence of inflammatory response. It generally leads to the presence of intense discharges in the absence of itching, burning sensations or urinary symptoms. G. vaginalis was found to be a risk factor for the acquisition of human immunodeficiency virus (HIV), in which stimulation of HIV expression by G. vaginalis was demonstrated. This bacterium is also associated with bacteraemia, urinary track infections, and neonatal meningitis. (Adaptated from PMID: 20221621). [UP000001888]","Gardnerella vaginalis is one of several vaginal organisms whose presence strongly correlates with BV. Biochemical and physiological analyses demonstrate important virulence features such as hemolytic activity, epithelial adhesion and biofilm formation. Genomic analyses provides details of the genetic elements involved. We also identify other features of the G. vaginalis pangenome, such as the ability to degrade mucin, evade immune detection or resist a broad spectrum of antimicrobials, which may be important to the role of G. vaginalis in BV. [PMID: 20865041]",
UP000008234_CP001850,UP000008234,Y,Y,699246,Mageeibacillus indolicus (strain UPII9-5) (Clostridiales genomosp BVAB3 (strain UPII9-5)),GCA_000025225.2,1.81,NC_013895.2,,CP001850,"Mageeibacillus indolicus UPII9-5 chromosome, complete genome",699246,Mageeibacillus indolicus UPII9-5,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Mageeibacillus; Mageeibacillus indolicus,"This strain was isolated from the human vaginal cavity. Clostridiales BVAB3 are associated with bacterial vaginosis; however it is not clear if this strain is a pathogen or not. It has been sequenced as part of the Human Microbiome Project (HMP), initiated to probe the richness of the microbial communities living in and on the human body in an effort to help us understand their role in human health and disease. [UP000008234] Cells are Gram positive but stain Gram negative ans are vancomycin sensitive, colistin resistant, non-motile, catalase, oxidase, urease, lipase and lecithinase negative, non-cellulolytic and are indole positive. Rods are approximately 1.25 _m in length and 588 nm in diameter occurring in chains or in small aggregates when grown as previously mentioned. Optimal temperature for growth is 37°C. [[PMID: 25482717]","Strains are asaccharolytic but enzymatic activities are present for arginine arylamidase, phenylalanine arylamidase, leucine arylamidase, tyrosine arylamidase, glycine arylamidase, _-fucosidase, histidine arylamidase, serine arylamidase, valine arylamidase, acid phosphatase and napthol-AS-BI-phosphohydrolase. Susceptibility testing to metronidazole, clindamycin and cefoxitin was performed with no resistance observed, however only three isolates were tested, BAA-2120T and CCUG 59143T. [PMID: 25482717]",
UP000001902_CP001859,UP000001902,Y,Y,591001,Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / VR4),GCA_000025305.1,2.33,NC_013740.1,,CP001859,"Acidaminococcus fermentans DSM 20731, complete genome",591001,Acidaminococcus fermentans DSM 20731,Bacteria; Terrabacteria group; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Acidaminococcus; Acidaminococcus fermentans,"Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / VR4, the type strain) is an anaerobic Gram-negative bacterium isolated from a pig gut. It can utilize amino acids as the sole source of energy for growth, but lactate, fumarate, malate, succinate, citrate, and pyruvate can not serve as energy sources for growth. Acetic and butyric acids and CO2 are produced. Growth is good at 30 to 37 degrees Celsius and poor or negative at 25 and 45 degrees Celsius. The cells do not survive heating at 60 degrees Celsius for 30 min. (Adapted from PMID: 5784223)."" [UP000001902]. ""The strain described in this report is a nonsporulating, nonmotile. [PMID: 21304687]","It can utilize amino acids as the sole source of energy for growth, but lactate, fumarate, malate, succinate, citrate, and pyruvate can not serve as energy sources for growth. Acetic and butyric acids and CO2 are produced. [UP000001902]. A. fermentans is known for its habitation of the gastrointestinal tract and its ability to oxidize trans-aconitate. [PMID: 21304687]",Also referred to as strains ATCC 25085 and VR4 in UniProt.
UP000041838_CP001891,UP000041838,Y,Y,244366,Klebsiella variicola,GCA_000826565.1,5.781,NC_013850.1,,CP001891,"Klebsiella variicola At-22, complete genome",640131,Klebsiella variicola At-22,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella; Klebsiella variicola,"Bacteria of the genus Klebsiella are widely distributed in nature, in the soil and in water. They are also part of the normal flora of the human intestinal tract, but usually in low numbers compared with E. coli. Klebsiella variicola is a recently (2004) described species distributed both in plants and in clinical settings, representing less than 10% of the clinical Klebsiella isolates previously considered as K. pneumoniae. Amazonian leaf-cutter ants cut leaves and bring them to a fungal garden, which they use as a substrate to cultivate a fungus (family Lepiotaceae) for food. Additionally these ants engage in another association with Actinobacteria (genus Pseudonocardia), which produce antibiotics to help defend the fungus garden from parasites. It has now been discovered that N(2) fixation occurs in leaf-cutter ant fungus gardens and indicated the presence of N(2)-fixing bacteria within the garden matrix. It is estimated that a single mature leaf-cutter ant colony may contribute as much as 1.8 kg of fixed N per year into neotropical ecosystems (adapted from PMID 19965433). [UP000001907]","Infections caused by K. variicola have been reported in humans worldwide and less frequently in wild and farm animal infections. Additionally, K. variicola is frequently isolated from a wide range of plant ecosystems, playing a role in nitrogen fixation and plant growth promotion. [PMID: 31259664]",The GenBank sequence for assembly ID is from WGS Sequence Set. This proteome is redundant to UP000041838.
UP000000927_CP002006,UP000000927,Y,Y,264731,Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23),GCA_000025925.1,3.62,NC_014033.1,,CP002006,"Prevotella ruminicola 23, complete genome",264731,Prevotella ruminicola 23,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella ruminicola,"Prevotella ruminicola 23 is an obligate anaerobic bacterium that contributes to hemicellulose utilization within the bovine rumen. It is one of the most commonly isolated species from rumen contents and possesses the capacity to degrade plant cell wall polysaccharides, proteins, and peptides, contributing to the utilization of noncellulosic polysaccharides, such as starch and xylan (adapted from PMID 19304844). [UP000000927]","Regarding nitrogen metabolism, P. ruminicola 23 can efficiently utilize both ammonia and peptides (preferentially larger peptides, up to 2,000_Da) as a nitrogen source for growth. For breakdown of oligopeptides, P. ruminicola 23 harbors the greatest range and specific activity of dipeptidyl peptidases in comparison to species belonging to other abundant genera in the rumen, such as Butyrivibrio, Ruminococcus, and Fibrobacter. [PMID: 28798330] The strain possesses the capacity to degrade plant cell wall polysaccharides, proteins, and peptides, contributing to the utilization of noncellulosic polysaccharides, such as starch and xylan (adapted from PMID 19304844). [UP000000927]",Also referred to as strains ATCC 19189 and JCM 8958 in UniProt.
UP000006740_CP002010,UP000006740,Y,Y,759350,Bifidobacterium longum subsp longum (strain JDM301),GCA_000092325.1,2.478,NC_014169.1,,CP002010,"Bifidobacterium longum subsp. longum JDM301, complete genome",759350,Bifidobacterium longum subsp. longum JDM301,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. longum,Bifidobacterium longum subsp. longum (strain JDM301) is a probiotic Gram-negative bacterium which naturally inhabits the human gastrointestinal tract and vagina. It plays an important role in the stability of the intestinal microflora and the modulation of the immune response. (adapted from PMID: 20525832). [UP000006740],"JDM301 was shown to contain 36 genes associated with antibiotic resistance, 5 enzymes related to harmful metabolites and 162 nonspecific virulence factors mainly associated with transcriptional regulation, adhesion, sugar and amino acid transport. [PMID: 22346255]",
UP000057640_CP002030,UP000057640,Y,Y,32022,Campylobacter jejuni subsp jejuni,GCA_001299595.1,1.665,NZ_CP012690.1,,CP002030,"Campylobacter jejuni subsp. jejuni ICDCCJ07001 plasmid pTet, complete sequence",757425,Campylobacter jejuni subsp. jejuni ICDCCJ07001,Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter jejuni; Campylobacter jejuni subsp. jejuni,"Campylobacter jejuni ICDCCJ07001 (HS:41, ST2993) was isolated from a Guillain-Barré syndrome (GBS) patient during a 36-case GBS outbreak triggered by C. jejuni infections in north China in 2007.[PMID: 21124772]",,
UP000001662_CP002109,UP000001662,Y,Y,610130,Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1),GCA_000144625.1,4.663,NC_014376.1,,CP002109,"Clostridium saccharolyticum WM1 chromosome, complete genome",610130,Clostridium saccharolyticum WM1,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Clostridium saccharolyticum,"Clostridium saccharolyticum strain WM1 was obtained from a methanogenic cellulose-enrichment culture started from sewage sludge. The bacteria grows as non-motile, mesophilic, strictly anaerobic cells which awere straight, spindle shaped rods, approximately 0.6 by 3.0 um. Spores, which are round and terminally located in the cells, are present in cultures 3 or more days old. Strain WM1 is unable to digest cellulose, but it could use a wide range of sugars, including cellobiose. Metabolic products detected in cellobiose-yeast extract broth after 7 days of incubation include acetic acid, hydrogen, carbon dioxide, ethanol, and traces of pyruvic and lactic acids (adapted from 1982, Int. J. System. Bact. 32:132-135). [UP000001662]","Strain WM1 is unable to digest cellulose, but it could use a wide range of sugars, including cellobiose. Metabolic products detected in cellobiose-yeast extract broth after 7 days of incubation include acetic acid, hydrogen, carbon dioxide, ethanol, and traces of pyruvic and lactic acids (adapted from 1982, Int. J. System. Bact. 32:132-135). [UP000001662]","Also referred to as strains ATCC 35040, DSM 2544, and NRCC 2533 in UniProt."
UP000001498_CP002122,UP000001498,Y,Y,553174,Prevotella melaninogenica (strain ATCC 25845 / DSM 7089 / JCM 6325 / VPI 2381 / B282) (Bacteroides melaninogenicus),GCA_000144405.1,3.168,NC_014370.1,NC_014371.1,CP002122,"Prevotella melaninogenica ATCC 25845 chromosome I, complete sequence",553174,Prevotella melaninogenica ATCC 25845,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella melaninogenica,"Prevotella melaninogenica is an anaerobic, black-pigmenting, rod-shaped bacterium that inhabits the human oral cavity that is implicated in periodontal disease. The bacterium has many virulence factors including neuraminidase, collagenase, specific immunoglobulin G and IgA proteases, phospholipase A, and hemolysin. It has been sequenced as part of the Human Microbiome Project (HMP), initiated to probe the richness of the microbial communities living in and on the human body in an effort to help us understand their role in human health and disease. [UP000001498]","Other factors may be involved in the continued growth and potential pathogenicity of certain anaerobes. For example, P melaninogenica can inhibit the growth of certain other organisms. Also, anaerobes such as P melaninogenica sometimes inhibit phagocytosis and killing of other organisms during mixed infection. Prevotella melaninogenica is one of the few bacteria that produce collagenase, an enzyme of considerable importance. Cell extracts of P melaninogenica strains with collagenolytic activity, when given with a live Fusobacterium species, produce more severe lesions in rabbits than does the organism or the extract given alone. [https://www.ncbi.nlm.nih.gov/books/NBK8438/]","Prevotella melaninogenica ATCC 25845 chromosome II, complete sequence (GenBank AC CP002123) is mapped to UP000001498. Also referred to as strains DSM 7089, JCM 6325, VPI 2381, and B282 in UniProt."
UP000006869_CP002220,UP000006869,Y,Y,883062,Bifidobacterium bifidum (strain S17),GCA_000164965.1,2.187,NC_014616.1,,CP002220,"Bifidobacterium bifidum S17, complete genome",883062,Bifidobacterium bifidum S17,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium bifidum,"Bifidobacteria represent an important group of the intestinal microbiota of humans and are believed to be promising candidates for pharmaceutical applications and functional food products due to their ability to exclude intestinal pathogens, strengthen the intestinal barrier, and/or modulate the immune response in the intestine. Bifidobacterium bifidum (strain S17) is a Gram-positive bacterium isolated from feces of a breast-fed infant. It is shown to strongly adhere to intestinal epithelial cells and has potent anti-inflammatory activity in vitro and in vivo. (Adapted from PMID: 21037011). [UP000006869]","Bifidobacteria represent an important group of the intestinal microbiota of humans and are believed to be promising candidates for pharmaceutical applications and functional food products due to their ability to exclude intestinal pathogens, strengthen the intestinal barrier, and/or modulate the immune response in the intestine. Bifidobacterium bifidum (strain S17) is shown to strongly adhere to intestinal epithelial cells and has potent anti-inflammatory activity in vitro and in vivo. [UP000006869]",
UP000006873_CP002273,UP000006873,Y,Y,903814,Eubacterium limosum (strain KIST612),GCA_000152245.2,4.317,NC_014624.2,,CP002273,"Eubacterium limosum KIST612, complete genome",903814,Eubacterium limosum KIST612,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium,"Eubacterium limosum (strain KIST612) is an acetogenic Gram-positive bacterium frequently isolated from an anaerobic digester and has a high growth rate on synthesis gas (CO; carbon monoxide) using it as a sole energy source. This organism produces acetate as well as butyrate and ethanol as fermentation products from syngas. Therefore, E. limosum has been considered for a model strain for bioenergy production from syngas (obtained from biomass). (Adapted from : www.ncbi.nlm.nih.gov/genomeprj/52281). [UP000006873]","Metabolic pathway analysis revealed that E. limosum KIST612 uses the Wood-Ljungdahl pathway to fix CO (or CO2) and converts it into acetyl coenzyme A (acetyl-CoA), like other syngas-utilizing acetogens such as Moorella thermoacetica, Clostridium ljungdahlii, and Clostridium carboxidivorans strain P7T. E. limosum KIST612 also contains 10 genes annotated as subunits of hydrogenases that may provide reducing equivalents for CO2 reduction to organic carbons. The genome of E. limosum KIST612 contains genes that encode key enzymes that convert acetyl-CoA into potential bioenergy-compatible acids/alcohols (acetate, butyrate, and ethanol). In addition to these genes, key genes for growing on syngas can be a platform of synthetic biology to construct carbon fixation pathways for the production of biofuels or chemicals from syngas. [PMID: 21036996]",
UP000232637_CP002286,UP000232637,Y,Y,216816,Bifidobacterium longum,GCA_002832945.1,2.449,NC_014656.1,,CP002286,"Bifidobacterium longum subsp. longum BBMN68, complete genome",890402,Bifidobacterium longum subsp. longum BBMN68,Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium longum; Bifidobacterium longum subsp. longum,"Bifidobacteria represent an important group of the intestinal microbiota of humans and are believed to be promising candidates for pharmaceutical applications and functional food products due to their ability to exclude intestinal pathogens, strengthen the intestinal barrier, and/or modulate the immune response in the intestine. Bifidobacterium longum subsp. longum (strain BBMN68) is a anaerobic Gram-positive bacterium isolated from the feces of a healthy centenarian living in an area of BaMa, Guangxi, China. (Adapted from PMID: 21097614). [UP000006891]","Bifidobacteria are natural inhabitant of the human gastrointestinal tract and vagina and play vital roles in maintaining human health. Several predicted proteins of the strain, BBMN68, were identified to be associated with the ecological niche of longevity. [PMID: 21097614] A transcriptomic study was performed to identify candidate genes for B. longum BBMN68̥s response to oxidative stress. Expression of genes and pathways of B. longum BBMN68 involved in nucleotide metabolism, amino acid transport, protein turnover and chaperones increased, and that of carbohydrate metabolism, translation and biogenesis decreased to adapt to the oxidative stress. [PMID: 30459453]",The GenBank sequence for assembly ID is from WGS Sequence Set. This proteome is redundant to UP000232637.
UP000193045_CP002291,UP000193045,Y,Y,656397,Escherichia coli H386,GCA_002110545.1,5.342,NC_017663.1,,CP002291,"Escherichia coli P12b, complete genome",910348,Escherichia coli P12b,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,"Escherichia coli (E. coli) is a Gram-negative, rod-shaped, facultative anaerobic bacterium. This microorganism was first described by Theodor Escherich in 1885. [PMID: 20134227]","Most E. coli strains harmlessly colonize the gastrointestinal tract of humans and animals as a normal flora. However, there are some strains that have evolved into pathogenic E. coli by acquiring virulence factors through plasmids, transposons, bacteriophages, and/or pathogenicity islands. These pathogenic E. coli can be categorized based on serogroups, pathogenicity mechanisms, clinical symptoms, or virulence factors. Among them, enterohemorrhagic E. coli (EHEC) is defined as pathogenic E. coli strains that produce Shiga toxins (Stxs) and cause hemorrhagic colitis (HC) and the life-threatening sequelae hemolytic uremic syndrome (HUS) in humans. Several serotypes in EHEC are frequently associated with human diseases such as O26:H11, O91:H21, O111:H8, O157:NM, and O157:H7. [PMID: 20134227]",The GenBank sequence for assembly ID is from WGS Sequence Set. This proteome is redundant to UP000193045. Strain is mentioned in papers but gave no characteric/functional information.
UP000008630_CP002352,UP000008630,Y,Y,693979,Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108),GCA_000186225.1,3.999,NC_014933.1,,CP002352,"Bacteroides helcogenes P 36-108, complete genome",693979,Bacteroides helcogenes P 36-108,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides helcogenes,"This group of microbes constitute the most abundant members of the intestinal microflora of mammals. Typically they are symbionts, but they can become opportunistic pathogens in the peritoneal (intra-abdominal) cavity. This organism produces many extracellular enzymes which assist in the breakdown of complex plant polysaccharides such as cellulose and hemicellulose and host-derived polysaccharides such as mucopolysaccharides. Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108) is an anaerobic Gram-negative bacterium isolated from abscesses in pigs. (Adapted from: www.ncbi.nlm.nih.gov/genomeprj/41913). [UP000008630]","This organism produces many extracellular enzymes which assist in the breakdown of complex plant polysaccharides such as cellulose and hemicellulose and host-derived polysaccharides such as mucopolysaccharides. [UP000008630] B. helcogenes is strictly anaerobic, chemoorganotrophic and is able to ferment glucose, mannose, fructose, galactose, sucrose, maltose, cellobiose, lactose, xylose, melibiose, raffinose, starch, glycogen, salicin, amygdalin, and xylan. B. helcogenes can grow in the presence of specific concentrations of kanamycin, vancomycin, colistin, erythromycin, or polymyxin B. [PMID: 21475586]","Also referred to as strains ATCC 35417, DSM 20613, and JCM 6297 in UniProt."
UP000001551_CP002400,UP000001551,Y,Y,663278,Ethanoligenens harbinense (strain DSM 18485 / JCM 12961 / CGMCC 15033 / YUAN-3),GCA_000178115.2,3.009,NC_014828.1,,CP002400,"Ethanoligenens harbinense YUAN-3, complete genome",663278,Ethanoligenens harbinense YUAN-3,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ethanoligenens; Ethanoligenens harbinense,"Ethanoligenens harbinense (strain DSM 18485 / JCM 12961 / CGMCC 1.5033 / YUAN-3) is a strictly anaerobic, motile, chemo-organotrophic Gram-positive bacterium isolated from anaerobic activated sludge of molasses wastewater in a continuous stirred-tank reactor. Cells are regular rods and occur singly, in pairs and sometimes in chains of up to eight. Autoaggregative and autofluorescent growth is observed at 20-44 degrees Celsius and at pH between 3.5-9.0, with optimum growth at 35 degrees Celsius and approximately at pH 4.5-5-0. It is able to grow in the presence of 0-2% (w/v) NaCl. E. harbinense hydrolyses gelatin and aesculin and fermented several kinds of mono-, di- and oligosaccharides. Fermentation end products formed from glucose are acetate, ethanol, hydrogen and carbon dioxide. (Adapted from PMID: 16585689). [UP000001551]","E. harbinense hydrolyses gelatin and aesculin and fermented several kinds of mono-, di- and oligosaccharides. Fermentation end products formed from glucose are acetate, ethanol, hydrogen and carbon dioxide. [UP000001551]","Also referred to as strains DSM 18485, JCM 12961, and CGMCC 1.5033 in UniProt"
UP000007486_CP002530,UP000007486,Y,Y,667015,Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78),GCA_000190575.1,4.309,NC_015164.1,NC_015165.1,CP002530,"Bacteroides salanitronis DSM 18170, complete genome",667015,Bacteroides salanitronis DSM 18170,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides salanitronis,"Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) is a strictly anaerobic, chemoorganotroph, non-spore-forming, non-motile Gram-negative bacterium isolated from the cecum of a healthy chicken. The cells are generally rod-shaped (0.4-0.7 x 0.8-5.6 um) with rounded ends and are usually arranged singly or in pairs. The temperature optimum is 37 degrees Celsius. B. salanitronis is able to ferment glucose, mannose, sucrose, maltose, arabinose, cellobiose, lactose, xylose and raffinose. It does not utilize trehalose, glycerol, mannitol, sorbitol or melezitose; rhamnose and salicin are fermented weakly. Growth is possible in the presence of bile. Major fermentation products from broth (1% peptone, 1% yeast extract, and 1% glucose each (w/v)) are acetic acid and succinic acid, whereas isovaleric acid is produced in small amounts. Although B. salanitronis is non-motile, five genes associated with motility having been found in the genome. Many Bacteroides species are common inhabitants of the intestine where they help to degrade complex molecules such as polysaccharides or transform steroids. They also play a role as beneficent protectors of the gut against pathogenic microorganisms. (Adapted from PMID 21677856 ). [UP000007486]",Many Bacteroides species are common inhabitants of the intestine where they help to degrade complex molecules such as polysaccharides or transform steroids. They also play a role as beneficent protectors of the gut against pathogenic microorganisms. [PMID: 21677856],Also referred to as strains JCM 13567 and BL78 in UniProt.
UP000006657_CP002544,UP000006657,Y,Y,709991,Odoribacter splanchnicus (strain ATCC 29572 / DSM 20712 / CIP 104287 / JCM 15291 / NCTC 10825 / 1651/6) (Bacteroides splanchnicus),GCA_000190535.1,4.392,NC_015160.1,,CP002544,"Odoribacter splanchnicus DSM 20712, complete genome",709991,Odoribacter splanchnicus DSM 20712,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Odoribacteraceae; Odoribacter; Odoribacter splanchnicus,"Odoribacter splanchnicus strain 1651/6T was isolated as Bacteroides splanchnicus from a human abdominal abscess in 1971. Its name means bad smelling rod from innards. It is the type species for Odoribacter. While usually found in the intestines it has the potential to be an opportunistic pathogen. Cells are short rods (0.7 by 1.0-5.0 um) which occur singly or in loosely associated groups although they can also be pleomorphic. It is non-motile and strictly anaerobic, and is able to ferment glucose, fructose, galactose, arabinose, lactose and mannose but not sucrose, rhamnose, trehalose or salicin. It produces large quantities of H(2) and H(2)S (adapted from PMID 21677857). [UP000006657]","This strain is able to ferment glucose, fructose, galactose, arabinose, lactose and mannose but not sucrose, rhamnose, trehalose or salicin. It produces large quantities of H(2) and H(2)S (adapted from PMID 21677857). [UP000006657]","Also referred to as strains ATCC 29572, JCM 15291, NCTC 10825, 1651/6T in UniProt."
UP000006860_CP002546,UP000006860,Y,Y,756272,Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis),GCA_000165715.3,6.007,NC_015174.1,,CP002546,"Rubinisphaera brasiliensis DSM 5305 chromosome, complete genome",756272,Rubinisphaera brasiliensis DSM 5305,Bacteria; PVC group; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Rubinisphaera; Rubinisphaera brasiliensis,"Planctomyces brasiliensis is a member of the order Planctomycetales, a group of budding mostly aquatic microorganisms lacking peptidoglycan and representing a phylogenetically distinct lineage within the domain Bacteria. The planctomycetes share a number of morphological features, having spherical or ovoid cells which bear crateriform structures and, in some cases, nonprosthecate appendages. Planctomyces have a distinct cell cycle, with sessile mother cells forming stalks that attach to surfaces or to other stalks and motile daughter cells that bud from the mother cell. Mother cells are spherical to ovoid with stalks composed of twisted fibrils. The diameter of the mother cell is 1.1 to 1.5 um. Multiplication occurs by budding on the distal cell pole, yielding daughter cells which are mono-trichously and polarly flagellated. Cells have rigid stalk fibers and can form multicellular rosettes. Although it lacks peptidoglycan it has a cell envelope which consists almost entirely of protein which is rich in proline and cysteine and is stabilized to a high degree by disulfide bonds. P.brasiliensis was first isolated in 1982 in water from a salt pit, Lagoa Vermelha, Brazil (adapted from PMID 17978240 and DOI=10.4056/sigs.1052813). [UP000006860]","Strain IFAM 1448T can utilize ammonia, nitrate and N-acetyl glucosamine as a nitrogen source and can hydrolyze gelatin and tween 80. It does not utilize L-glutamic acid, L-glutamine, L-serine amygdalin, gluconate or creatinine and does not require vitamins for growth. The organism is able to reduce nitrate to nitrite under anaerobic conditions, a trait that is also predicted from the genome sequence.P. brasiliensis requires NaCl for growth and has a broad tolerance to salt. [PMID: 25780503]","Also referred to as strains ATCC 49424, JCM 21570, NBRC 103401, and IFAM 1448 in UniProt."
UP000008137_CP002589,UP000008137,Y,Y,767031,Prevotella denticola (strain F0289),GCA_000193395.1,2.938,NC_015311.1,,CP002589,"Prevotella denticola F0289, complete genome",767031,Prevotella denticola F0289,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella denticola,"Cells are nonmotile, non-spore-form- ing, gram-negative, blunt-ended, oval rods that are 0.7 by 1 to 2 p,m. They occur singly. Peritrichous fimbrae and a thick capsulelike structure are present. Obligately anaerobic. Poor growth occurs in liquid media; better growth occurs on blood agar media supplemented with hemolyzed blood. No growth occurs on kanamycin-vancomycin laked blood agar. [PMID: 7547307] Prevotella denticola is isolated from the human mouth, where it is suspected to cause disease. This strain has been sequenced as part of the Human Microbiome Project (HMP). [UP000008137]","Prevotella denticola is isolated from the human mouth, where it is suspected to cause disease. [UP000008137]",
UP000006852_CP002631,UP000006852,Y,Y,869209,Treponema succinifaciens (strain ATCC 33096 / DSM 2489 / 6091),GCA_000195275.1,2.897,NC_015385.1,NC_015386.1,CP002631,"Treponema succinifaciens DSM 2489, complete genome",869209,Treponema succinifaciens DSM 2489,Bacteria; Spirochaetes; Spirochaetia; Spirochaetales; Spirochaetaceae; Treponema; Treponema succinifaciens,"Strain 6091T (= DSM 2489 = ATCC 33096 = JCM 13475) is the type strain of Treponema succinifaciens. The species has succinic acid-producing properties. The strain is a harmless inhabitant of the intestine of healthy pigs and has previously shown to have no pathogenic potential. [PMID: 21886863] Treponema succinifaciens is a non-pathogenic, obligately anaerobic spirochete isolated from the colon of a swine (adapted from PMID 120726). [UP000006852]","T. succinifaciens requires CO2 for growth and is able to utilize arabinose, xylose, glucose, mannose, galactose, maltose, lactose, cellobiose, dextrin and starch for fermentation. Sugar alcohols, amino acids and other organic acids cannot be fermented by the organism. Major fermentation products of glucose are acetate, formate, succinate and lactate, whereas pyruvate, acetoin and 2,3-butanediol are formed in minor amounts. Assays of enzymatic activities showed that T. succinifaciens dissimilates glucose via the Embden-Meyerhof pathway. The species caintains succinic acid-producing properties. [PMID: 21886863]",Also referred to as strains ATCC 33096 and 6091 in UniProt.
